34.04.15.2002                                                                                     2 Donokerto
34.04.15.2003                                                                                     3 Girikerto
34.04.15.2004                                                                                     4 Wonokerto
34.04.16.2001                                                                                     1 Purwobinangun
34.04.16.2002                                                                                     2 Candibinangun
34.04.16.2003                                                                                     3 Harjobinangun
34.04.16.2004                                                                                     4 Pakembinangun
34.04.16.2005                                                                                     5 Hargobinangun
34.04.17.2001                                                                                     1 Argomulyo
34.04.17.2002                                                                                     2 Wukirsari
34.04.17.2003                                                                                     3 Glagaharjo
34.04.17.2004                                                                                     4 Kepuharjo
34.04.17.2005                                                                                     5 Umbulharjo
34.71.01.1001                                                             1 Kricak
34.71.01.1002                                                             2 Karangwaru
34.71.01.1003                                                      3 Tegalrejo
34.71.01.1004                                                      4 Bener
34.71.02.1001                                                      1 Bumijo
34.71.02.1002                                                      2 Cokrodiningratan
34.71.02.1003                                                      3 Gowongan
34.71.03.1001                                                      1 Demangan
34.71.03.1002                                                      2 Kotabaru
34.71.03.1003                                                      3 Klitren
34.71.03.1004                                                      4 Baciro
34.71.03.1005                                                      5 Terban
34.71.04.1001                                                      1 Suryatmajan
34.71.04.1002                                                      2 Tegalpanggung
34.71.04.1003                                                      3 Bausasran
34.71.05.1001                                                      1 Sosromenduran
34.71.05.1002                                                      2 Pringgokusuman
34.71.06.1001                                                      1 Ngampilan
34.71.06.1002                                                      2 Notoprajan
34.71.07.1001                                                      1 Pakuncen
34.71.07.1002                                                      2 Wirobrajan
34.71.07.1003                                                      3 Patangpuluhan
34.71.08.1001                                                      1 Gedongkiwo
34.71.08.1002                                                      2 Suryodiningratan
34.71.08.1003                                                      3 Mantrijeron
34.71.09.1001                                                      1 Patehan
34.71.09.1002                                                      2 Panembahan
34.71.09.1003                                                      3 Kadipaten
34.71.10.1001                                                           1 Ngupasan
34.71.10.1002                                                           2 Prawirodirjan
34.71.11.1001                                                           1 Purwokinanti
34.71.11.1002                                                           2 Gunungketur
34.71.12.1001                                                           1 Keparakan
34.71.12.1002                                                           2 Wirogunan
34.71.12.1003                                                           3 Brontokusuman
34.71.13.1001                                                           1 Semaki
34.71.13.1002                                                           2 Muja Muju
34.71.13.1003                                                           3 Tahunan
34.71.13.1004                                                           4 Warungboto
34.71.13.1005                                                           5 Pandeyan
34.71.13.1006                                                           6 Sorosutan
34.71.13.1007                                                           7 Giwangan
34.71.14.1001                                                           1 Rejowinangun
34.71.14.1002                                                           2 Prenggan
34.71.14.1003                                                           3 Purbayan
