61.03.05.2001                                                                       1 Bonti
61.03.05.2002                                                                       2 Sami
61.03.05.2003                                                                       3 Bahta
61.03.05.2004                                                                       4 Upe
61.03.05.2005                                                                       5 Tunggul Boyok
61.03.05.2006                                                                       6 Empodis
61.03.05.2007                                                                       7 Kampuh
61.03.05.2008                                                                       8 Bantai
61.03.05.2009                                                                       9 Majel
61.03.06.2001                                                                       1 Kasro Mego
61.03.06.2002                                                                       2 Bereng Berkawat
61.03.06.2003                                                                       3 Sungai Ilai                                 Perbaikan nama sesuai Surat Pemprov Kalbar
61.03.06.2004                                                                       4 Thang Raya
61.03.06.2005                                                                       5 Mawang Muda
61.03.07.2001                                                                       1 Balai Karangan
61.03.07.2002                                                                       2 Pengadang
61.03.07.2003                                                                       3 Sotok
61.03.07.2004                                                                       4 Kenaman
61.03.07.2005                                                                       5 Raut Muara
61.03.07.2006                                                                       6 Engkahan
61.03.07.2007                                                                       7 Bungkang
61.03.07.2008                                                                       8 Lubuk Sabuk
61.03.07.2009                                                                       9 Sangai Tekam
61.03.07.2010                                                                      10 Melenggang
61.03.08.2001                                                                       1 Tanjung Bunga
61.03.08.2002                                                                       2 Semayang
61.03.08.2003                                                                       3 Sebongkuh
61.03.08.2004                                                                       4 Kuala Dua
61.03.08.2005                                                                       5 Tanjung Merpati
61.03.08.2006                                                                       6 Sejuah
61.03.08.2007                                                                       7 Mobui
61.03.08.2008                                                                       8 Tanap
61.03.08.2009                                                                       9 Sebuduh
61.03.08.2010                                                                      10 Kelompu
61.03.08.2011                                                                      11 Tunggal Bhakti
61.03.09.2001                                                                        1 Pusat Damai
61.03.09.2002                                                                        2 Maju Karya
61.03.09.2003                                                                        3 Sebara
61.03.09.2004                                                                        4 Pandu Raya
61.03.09.2005                                                                        5 Embala
61.03.09.2006                                                                        6 Hibun
61.03.09.2007                                                                        7 Maringin Jaya
61.03.09.2008                                                                        8 Suka Mulya
61.03.09.2009                                                                        9 Palem Jaya
61.03.09.2010                                                                       10 Rahayu
61.03.09.2011                                                                       11 Dosan
61.03.09.2012                                                                       12 Suka Gerundi
61.03.09.2013                                                                       13 Gunam
61.03.09.2014                                                                       14 Marita
61.03.10.2001                                                                        1 Sosok
61.03.10.2002                                                                        2 Peruan Dalam
61.03.10.2003                                                                        3 Menyabo
61.03.10.2004                                                                        4 Mandong
61.03.10.2005                                                                        5 Janjang
61.03.10.2006                                                                        6 Riyai
61.03.10.2007                                                                        7 Berakak
61.03.10.2008                                                                        8 Engkasan
61.03.10.2009                                                                        9 Pandan Sembuat
61.03.10.2010                                                                       10 Binjai
61.03.10.2011                                                                       11 Kedakas
61.03.11.2001                                                                        1 Pulau Tayan Utara
61.03.11.2002                                                                        2 Kawat
61.03.11.2003                                                                        3 Pedalaman
61.03.11.2004                                                                        4 Balai Ingin
61.03.11.2005                                                                        5 Lalang
61.03.11.2006                                                                        6 Cempedak
61.03.11.2007                                                                        7 Melugai
61.03.11.2008                                                                         8 Emberas
61.03.11.2009                                                                         9 Beginjan                                   Perbaikan nama sesuai Surat Pemprov Kalbar
61.03.11.2010                                                                        10 Sejotang
61.03.11.2011                                                                        11 Sebemban
61.03.11.2012                                                                        12 Subah
61.03.11.2013                                                                        13 Sungai Jaman
61.03.11.2014                                                                        14 Tanjung Bunut
61.03.11.2015                                                                        15 Tebang Benua
61.03.12.2001                                                                         1 Hilir
61.03.12.2002                                                                         2 Padi Kaye
61.03.12.2003                                                                         3 Temiang Mali
61.03.12.2004                                                                         4 Cowet
61.03.12.2005                                                                         5 Kebadu
61.03.12.2006                                                                         6 Mak Kawing
61.03.12.2007                                                                         7 Tae
61.03.12.2008                                                                         8 Semoncol
61.03.12.2009                                                                         9 Empirang Ujung
61.03.12.2010                                                                        10 Bulu Bala
61.03.12.2011                                                                        11 Temiang Taba
61.03.12.2012                                                                        12 Senyabang
61.03.13.2001                                                                         1 Teraju
61.03.13.2002                                                                         2 Belungai Dalam
61.03.13.2003                                                                         3 Sansat
61.03.13.2004                                                                         4 Kampung Baru
61.03.13.2005                                                                         5 Bagan Asam
61.03.13.2006                                                                         6 Lumut
61.03.13.2007                                                                         7 Balai Belungai
61.03.20.2001                                                                          1 Meliau Hilir
61.03.20.2002                                                                          2 Meliau Hulu
61.03.20.2003                                                                          3 Kuala Buayan
61.03.20.2004                                                                          4 Meranggau
