32.01.26.2011                                                                               11 Sukaresmi
32.01.26.2012                                                                               12 Pasir Angin                                 Pemekaran Desa Cipayung Perda No. 4/2012
32.01.27.2001                                                                            1 Pasir Muncang
32.01.27.2002                                                                            2 Cimande Hilir
32.01.27.2003                                                                            3 Ciderum
32.01.27.2004                                                                            4 Caringin
32.01.27.2005                                                                            5 Ciherang Pondok
32.01.27.2006                                                                            6 Cinagara
32.01.27.2007                                                                            7 Cimande
32.01.27.2008                                                                            8 Pancawati
32.01.27.2009                                                                            9 Muara Jaya                                  Koreksi penulisan Perda No. 3/2003
32.01.27.2010                                                                           10 Basir Buncir
32.01.27.2011                                                                           11 Lemah Duhur
32.01.27.2012                                                                           12 Tangkil
32.01.28.2001                                                                            1 Cijeruk
32.01.28.2002                                                                            2 Cipelang
32.01.28.2003                                                                            3 Warung Menteng
32.01.28.2004                                                                            4 Tajur Halang
32.01.28.2005                                                                            5 Cipicung
32.01.28.2006                                                                            6 Cibalung
32.01.28.2007                                                                            7 Sukaharja
32.01.28.2008                                                                            8 Palasari
32.01.28.2009                                                                            9 Tanjungsari
32.01.29.2001                                                                            1 Mekarjaya
32.01.29.2002                                                                            2 Sukaharja
32.01.29.1003                                                      1 Padasuka                                                          Peningkatan status Perda No. 27/2004
32.01.29.2004                                                                            3 Parakan
32.01.29.2005                                                                            4 Ciomas
32.01.29.2006                                                                            5 Pagelaran
32.01.29.2007                                                                            6 Sukamakmur
32.01.29.2008                                                                            7 Ciapus                                      Koreksi penulisan Perda No. 3/2003
32.01.29.2009                                                                            8 Kota Batu
32.01.29.2010                                                                            9 Laladon
32.01.29.2011                                                                        10 Ciomas Rahayu
32.01.30.2001                                                                         1 Sukadamai
32.01.30.2002                                                                         2 Ciherang
32.01.30.2003                                                                         3 Sinarsari
32.01.30.2004                                                                         4 Sukawening
32.01.30.2005                                                                         5 Petir
32.01.30.2006                                                                         6 Purwasari
32.01.30.2007                                                                         7 Cikarawang
32.01.30.2008                                                                         8 Babakan
32.01.30.2009                                                                         9 Dramaga
32.01.30.2010                                                                        10 Neglasari
32.01.31.2001                                                                         1 Sukamantri
32.01.31.2002                                                                         2 Sirnagalih                                 Koreksi penulisan Perda No. 3/2003
32.01.31.2003                                                                         3 Pasireurih
32.01.31.2004                                                                         4 Tamansari
32.01.31.2005                                                                         5 Sukaluyu
32.01.31.2006                                                                         6 Sukaresmi
32.01.31.2007                                                                         7 Sukajaya
32.01.31.2008                                                                         8 Sukajadi
32.01.32.2001                                                                         1 Klapanunggal
32.01.32.2002                                                                         2 Bojong
32.01.32.2003                                                                         3 Nambo
32.01.32.2004                                                                         4 Lulut
32.01.32.2005                                                                         5 Cikahuripan
32.01.32.2006                                                                         6 Kembang Kuning
32.01.32.2007                                                                         7 Bantar Jati
32.01.32.2008                                                                         8 Leuwikaret
32.01.32.2009                                                                         9 Ligarmukti
32.01.33.2001                                                                         1 Putat Nutug
32.01.33.2002                                                                         2 Ciseeng
32.01.33.2003                                                                         3 Parigi Mekar
32.01.33.2004                                                                         4 Cibentang
32.01.33.2005                                                                         5 Cibeuteung Udik
32.01.33.2006                                                                         6 Karihkil
32.01.33.2007                                                                         7 Babakan
32.01.33.2008                                                                         8 Cihoe
32.01.33.2009                                                                         9 Cibeuteung Muara
32.01.33.2010                                                                        10 Kuripan
32.01.34.2001                                                                         1 Bantarjaya
32.01.34.2002                                                                         2 Bantarsari
32.01.34.2003                                                                         3 Pasirgaok
32.01.34.2004                                                                         4 Rancabungur
32.01.34.2005                                                                         5 Mekarsari
32.01.34.2006                                                                         6 Candali
32.01.34.2007                                                                         7 Cimulang                                     Pemekaran dari sebagian wil. Desa Pasirgaok Perda No. 18/2005
32.01.35.2001                                                                         1 Cisarua
32.01.35.2002                                                                         2 Kiarasari
32.01.35.2003                                                                         3 Sukajaya
32.01.35.2004                                                                         4 Sipayung                                     Koreksi penulisan Perda No. 3/2003
32.01.35.2005                                                                         5 Cileuksa
32.01.35.2006                                                                         6 Kiarapandak
32.01.35.2007                                                                         7 Harkatjaya                                   Koreksi penulisan Perda No. 3/2003
32.01.35.2008                                                                         8 Sukamulih
32.01.35.2009                                                                         9 Pasir Madang                                 Koreksi penulisan Perda No. 3/2003
32.01.35.2010                                                                        10 Urug                                         Pemekaran Desa Kiarapandak Perda No. 5/2012
32.01.35.2011                                                                        11 Jayaraharja                                  Pemekaran Desa Sukajaya Perda No. 5/2012
32.01.36.2001                                                                         1 Tanjungsari
32.01.36.2002                                                                         2 Selawangi
32.01.36.2003                                                                         3 Tanjungrasa
32.01.36.2004                                                                         4 Antajaya
32.01.36.2005                                                                         5 Pasir Tanjung
32.01.36.2006                                                                        6 Cibadak
32.01.36.2007                                                                        7 Sukarasa
32.01.36.2008                                                                        8 Sirnasari
32.01.36.2009                                                                        9 Buanajaya
32.01.36.2010                                                                       10 Sirnarasa
32.01.37.2001                                                                        1 Tajurhalang
32.01.37.2002                                                                        2 Citayam
32.01.37.2003                                                                        3 Sasak Panjang
32.01.37.2004                                                                        4 Nanggerang
32.01.37.2005                                                                        5 Sukmajaya
32.01.37.2006                                                                        6 Tonjong
32.01.37.2007                                                                        7 Kalisuren
32.01.38.2001                                                                        1 Cigombong
32.01.38.2002                                                                        2 Watesjaya
32.01.38.2003                                                                        3 Ciburuy
32.01.38.2004                                                                        4 Srogol
32.01.38.2005                                                                        5 Cisalada
32.01.38.2006                                                                        6 Tugujaya
32.01.38.2007                                                                        7 Pasirjaya
32.01.38.2008                                                                        8 Ciburayut
32.01.38.2009                                                                        9 Ciadeg
32.01.39.2001                                                                        1 Leuwisadeng
32.01.39.2002                                                                        2 Babakan Sadeng
32.01.39.2003                                                                        3 Sadeng Kolot
32.01.39.2004                                                                        4 Wangunjaya
32.01.39.2005                                                                        5 Kalong I
32.01.39.2006                                                                        6 Kalong II
32.01.39.2007                                                                        7 Sadeng
32.01.39.2008                                                                        8 Sibanteng
32.01.40.2001                                                                        1 Tapos I
32.01.40.2002                                                                                    2 Tapos II
32.01.40.2003                                                                                    3 Cibitung Tengah
32.01.40.2004                                                                                    4 Situdaun
